,Accuracy Train,MCC Train,F1 Train,Accuracy Test,MCC Test,F1 Test
knn,0.6580946814728229,0.5951291774868945,0.6483840022720144,0.5934579439252337,0.517372552561642,0.5854573189162773
svm_rbf,0.820572764465225,0.7830985153820914,0.8181327347539739,0.7383177570093458,0.6826817100109461,0.7300976226044887
dt,0.5160724722384571,0.4628738283705408,0.4877026288704489,0.4672897196261682,0.3934818981034604,0.43831433111623386
rf,0.5856224430157803,0.5247280842474814,0.5201219274243876,0.5700934579439252,0.5063776738904593,0.5205227852601506
stack,0.6943308007013442,0.6379152838625913,0.6870882636015005,0.6098130841121495,0.5356656073164456,0.5997185379468232
